Date time,Relative Humidity,Temperature
06/02/2020,79.53,9.3
06/03/2020,78.48,11.5
06/04/2020,71.55,13.8
06/05/2020,74.21,17.3
06/06/2020,71.11,21.2
06/07/2020,54.62,23.3
06/08/2020,55.38,23.5
06/09/2020,50.31,25.6
06/10/2020,52.65,26.3
06/11/2020,45.72,27.2
06/12/2020,49.87,27.4
06/13/2020,58.29,25.6
06/14/2020,81.43,20.5
06/15/2020,75.07,22.6
06/16/2020,64.65,24
06/17/2020,77.63,22
06/18/2020,78.1,22.2
06/19/2020,57.92,24.1
06/20/2020,70.82,22.1
06/21/2020,66.44,24.3
06/22/2020,69.76,23.7
06/23/2020,82.72,22
06/24/2020,69.35,21.4
06/25/2020,55.96,22.4
06/26/2020,55.18,21.9
06/27/2020,58.31,23.2
06/28/2020,66.66,22.8
06/29/2020,69.01,23.4
06/30/2020,69.97,22
07/01/2020,62.7,21.9
07/02/2020,60.8,24.6
07/03/2020,51.83,26.6
07/04/2020,71.79,23.6
07/05/2020,69.33,23.7
07/06/2020,62.15,24.6
07/07/2020,83.03,20.6
07/08/2020,70.54,16.2
07/09/2020,70.36,16.4
07/10/2020,67.52,20
07/11/2020,54.27,25.8
07/12/2020,67.83,22.9
07/13/2020,72.24,15.9
07/14/2020,53.88,18.1
07/15/2020,57.95,18.5
07/16/2020,57.28,19.5
07/17/2020,56.3,21.2
07/18/2020,60.06,21.9
07/19/2020,57.05,21.5
07/20/2020,57.19,21.6
07/21/2020,62.84,21.9
07/22/2020,52.17,19.8
07/23/2020,50.23,18.5
07/24/2020,50.49,19.5
07/25/2020,76.79,18.7
07/26/2020,77.22,21.4
07/27/2020,59.97,24.5
07/28/2020,56.96,25.1
07/29/2020,57.58,25.4
07/30/2020,67.3,22.8
07/31/2020,60.81,19.7
